Source,Target,Type,Label
Palestinian refugees,We will not forget - we have rights and we will return!,Directed,Call
Palestinian refugees,Right to return,Directed,Defend
Palestinian refugees,Right to return,Directed,Defend
Palestinian refugees,Justice,Directed,Are struggling for
Palestinian refugees,Palestine,Directed,Have the right to return to
Palestinian refugees,Palestine,Directed,Have the right to return to
Palestinian refugees,Their homes,Directed,Have the right to return to
Palestinian refugees,Their homes,Directed,Have the right to return to
Palestinian refugees,The great return march,Directed,Embarked on
Palestinian refugees,Left forces,Directed,Call on
Palestinian refugees,Odds,Directed,Persevered against
Palestinian refugees,72 regulated professions,Directed,Are barred from
Palestinian refugees,To europe or elsewhere,Directed,Are forced to migrate
Palestinian refugees,Harsh conditions,Directed,Impacted by
Palestinian refugees,Migration board's decision,Directed,Protesting against
Palestinian refugees,72 regulated professions,Directed,Are barred from
Palestinian refugees,Harsh conditions,Directed,Impacted by
Palestinian refugees,72 regulated professions,Directed,Are barred from
Palestinian refugees,Against the lebanese labor law,Directed,Are protesting
Palestinian refugees,Harsh conditions,Directed,Impacted by
Palestinian refugees,Siege,Directed,Face
Palestinian refugees,Right to return,Directed,Have been denied
Palestinian refugees,Harsh conditions,Directed,Impacted by
Palestinian refugees,Europe or elsewhere,Directed,Forced to migrate
Palestinian refugees,Government services,Directed,Are excluded from
Palestinian refugees,The policy of racism and marginalization,Directed,Are protesting against
Palestinian refugees,Specific demands,Directed,Have expressed
Palestinian refugees,To protest,Directed,Pledged to continue
Palestinian refugees,Palestinian rights,Directed,Defend
Palestinian refugees,Great march of return,Directed,Support
Palestinian refugees,Clear legal status,Directed,Demand
Palestinian refugees,Civil and economic and social rights,Directed,Demand
Palestinian refugees,Right to practice free professions,Directed,Demand
Palestinian refugees,Repression,Directed,Continue to face
Palestinian refugees,Unbelievable odds,Directed,Persevered against
Palestinian refugees,Israeli occupation fire,Directed,Braving
Palestinian refugees,Overcrowding,Directed,Face
Palestinian refugees,Jobs,Directed,Lose
Palestinian refugees,Difficult economic situation,Directed,Suffer from
Palestinian refugees,Declining unrwa services,Directed,Suffer from
Palestinian refugees,Labor discrimination,Directed,Were affected by
Palestinian refugees,Lebanon,Directed,Support
Palestinian refugees,Right to return,Directed,Denied
Palestinian refugees,Right to return,Directed,Denied
Palestinian refugees,Forcibly displaced,Directed,Are
Palestinian refugees,Home,Directed,Are fighting to return
Palestinian refugees,Their keys to return,Directed,Continue to hold
Palestinian refugees,Keys to return,Directed,Continue to hold
Palestinian refugees,Keys to return,Directed,Hold
Palestinian refugees,Assassination of banat,Directed,Protesting
Palestinian refugees,Assassination,Directed,Protesting
Palestinian refugees,Sweden,Directed,Protesting
Palestinian refugees,Met by,Directed,Protests
Palestinian refugees,Freedom,Directed,Fight for
Palestinian refugees,Right to return home,Directed,Have been denied
Palestinian refugees,Economic crisis,Directed,Face
Palestinian refugees,Right to return,Directed,Defend
Palestinian refugees,Gaza,Directed,Are under attack in
Palestinian refugees,1948,Directed,Have been displaced since
Palestinian refugees,South africa,Directed,Are standing with
Palestinian refugees,Their right to return,Directed,Struggle for
Palestinian refugees,Cooperative farm,Directed,Starting
Palestinian refugees,Institutional discrimination,Directed,Face
Palestinian refugees,Exclusion,Directed,Are facing
Palestinian refugees,Secure jobs,Directed,Do not have access to
Palestinian refugees,Safe housing,Directed,Do not have access to
Palestinian refugees,Right of return,Directed,Defend
Palestinian refugees,Voice,Directed,Have
Palestinian refugees,Decision,Directed,Have
Palestinian refugees,Denied that right for decades,Directed,Are struggling to return
Palestinian refugees,Homeland,Directed,Return to
Palestinian refugees,We will not forget - we have rights and we will return!,Directed,Call
Palestinian refugees,Right to return,Directed,Defend
Palestinian refugees,Right to return,Directed,Defend
Palestinian refugees,Justice,Directed,Are struggling for
Samidoun palestinian prisoner solidarity network,Al naqab center,Directed,Initiated by
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestina libre – murcia,Directed,Welcomes
Samidoun palestinian prisoner solidarity network,Global campaign to return to palestine,Directed,Joins with
Samidoun palestinian prisoner solidarity network,Liberation of palestine,Directed,Calls for
Samidoun palestinian prisoner solidarity network,Two-hour facebook boycott protest,Directed,Is joining
Samidoun palestinian prisoner solidarity network,Us palestinian community network,Directed,Is one of many organizations joining with
Samidoun palestinian prisoner solidarity network,Us palestinian community network,Directed,Joins
Samidoun palestinian prisoner solidarity network,A movement,Directed,Is
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Palestinian prisoners,Directed,Supports
Samidoun palestinian prisoner solidarity network,Network,Directed,Is
Samidoun palestinian prisoner solidarity network,Collectif palestine vaincra,Directed,Joins with
Samidoun palestinian prisoner solidarity network,Apartheid-promoting team,Directed,Calls for action to challenge
Samidoun palestinian prisoner solidarity network,Palestine action,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Celebration,Directed,Joins in
Samidoun palestinian prisoner solidarity network,International coordinator,Directed,Is
Samidoun palestinian prisoner solidarity network,U.s. coordinator,Directed,Is
Samidoun palestinian prisoner solidarity network,International solidarity activist,Directed,Is
Samidoun palestinian prisoner solidarity network,Freelance writer,Directed,Is
Samidoun palestinian prisoner solidarity network,All who stand with palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian resistance and steadfastness,Directed,Will speak about
Samidoun palestinian prisoner solidarity network,Week of palestinian struggle,Directed,Organized
Samidoun palestinian prisoner solidarity network,All,Directed,Calls on
Samidoun palestinian prisoner solidarity network,Oppression,Directed,Discuss
Samidoun palestinian prisoner solidarity network,All who stand with palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,International week of action,Directed,Is calling for
Samidoun palestinian prisoner solidarity network,International week of action,Directed,Called by
Samidoun palestinian prisoner solidarity network,Europe coordinator,Directed,Is
Samidoun palestinian prisoner solidarity network,Georges abdallah,Directed,Demanded freedom for
Samidoun palestinian prisoner solidarity network,Ghassan kanafani brigade,Directed,Launched
Samidoun palestinian prisoner solidarity network,Co-sponsor,Directed,Is
Samidoun palestinian prisoner solidarity network,All to join,Directed,Encourage
Samidoun palestinian prisoner solidarity network,Organization,Directed,Is
Samidoun palestinian prisoner solidarity network,Palestinian and arab community in greece,Directed,Calls on
Samidoun palestinian prisoner solidarity network,Siege,Directed,Break
Samidoun palestinian prisoner solidarity network,None,Directed,Win
Samidoun palestinian prisoner solidarity network,Discussion,Directed,Is hosting
Samidoun palestinian prisoner solidarity network,Co-sponsor of,Directed,Is
Samidoun palestinian prisoner solidarity network,Call,Directed,Is endorser of
Samidoun palestinian prisoner solidarity network,Samidounprisonersolidarity,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Many other organizations,Directed,Has joined
Samidoun palestinian prisoner solidarity network,Commitment,Directed,Affirms
Samidoun palestinian prisoner solidarity network,Hosting,Directed,Is
Samidoun palestinian prisoner solidarity network,Hosting,Directed,Is
Samidoun palestinian prisoner solidarity network,National march and rally,Directed,Is holding
Samidoun palestinian prisoner solidarity network,Public rally,Directed,Called for
Samidoun palestinian prisoner solidarity network,Discussion,Directed,Organized
Samidoun palestinian prisoner solidarity network,National lawyers guild international committee,Directed,Co-sponsored by
Samidoun palestinian prisoner solidarity network,Event,Directed,Is endorsing
Samidoun palestinian prisoner solidarity network,Supporters and friends of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Courageous prisoners,Directed,Stand with
Samidoun palestinian prisoner solidarity network,Struggle,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Struggle,Directed,Pledges to continue
